word	lang	translation	tags	form_of	etymology	pos	vform	case	gender	number	other
бандза	rom	лавка, магазин	ж.		греч. μπαλάνισα [балáниса] весы (? нем. диал. Banse закром, овин – прим. ред.)	NOUN			f		
бандзари	rom	лавочник	м.			NOUN			m		
бандзы	rom	лавки, магазины		мн. к бандза		NOUN					
банкиро	rom	банкир	м.			NOUN			m		
банкироса	rom	банкиром		тв. ед. к банкиро		NOUN					
банькирава	rom	гну				NOUN					
банькирэла, бандякирэла	rom	гнет, сгибает	гл. пер.		банго + кэрэла	VERB	TRAN				
бар	rom	сад, ограда, огород	ж.		снскр. vātī (ж.) двор, сад	NOUN			f		
бар	rom	камень	м.		снскр. vāṭa (м.) каменная кладка, хинди bāṭ (м.) жернов, дардск. камень	NOUN			m		
бар	rom	тысяча	ж.		снскр. vāra (м.) богатство, сокровище	NOUN			f		
бара	rom	тысячи		мн. к бар (м.) тысяча		NOUN					
барвало	rom	богато	нар.			ADVB					
барвало	rom	богатый	прил.		от бар (м.) тысяча	ADJ					
барвалы	rom	богатая		ж. к барвало		ADJ					
барвалыпнастыр	rom	от богатства		отл. ед. к барвалыпэн		unknown					
барвалыпэн	rom	богатство	м.		от барвало	NOUN			m		
барвалэндыр	rom	[от] богатых		отл. мн. м. к барвало		ADJ					
барвалэс	rom	богато	нар.			ADVB					
бари	rom	тысяча	числ., ж.			NUMR			f		
бари	rom	большая	прил.	ж. к баро		ADJ					
бария	rom	вырос[ла]		прош. I к барьёла растёт		VERB					
баро	rom	большой	прил.		снскр. vaḏra болышой	ADJ					
баро дром	rom	шоссе, тракт, букв.: большая дорога	м.			NOUN			m		
баро кхэр	rom	тюрьма, букв.: большой дом	м., устар.			NOUN			m		устар.
баро ром	rom	уважаемый цыган, букв.: большой				unknown					
баро форо	rom	столица, букв.: большой город	м.			NOUN			m		
бароно	rom	барон	м.			NOUN			m		
барори	rom	садик	ж.		уменыш. от бар (ж.)	NOUN			f		
баруно	rom	каменный	прил.		от бар (м.) камень	ADJ					
баруны	rom	каменная		ж. к баруно		ADJ					
баруны	rom	каменная стена	ж.			unknown			f		
баруняса	rom	каменной		тв. ед. к баруны		ADJ					
барыдыр	rom	больше	сравн.			COMP					
барьёла	rom	растёт	гл. неп.			VERB	INTR				
барьятыр	rom	от сада		отл. ед. к бар (ж.)		unknown					
барэ	rom	большие		мн. к баро		ADJ					
барэ	rom	большой, -ая, -ие	завис. ф. при сущ.			ADJ					завис. ф. при сущ.
барэрангрэ	rom	господские		ф. принадл. к барэ рая большие господа		ADJ					
баря	rom	тысячи				NOUN					
бари	rom	тысяча	ж.			NOUN			f		
бахт	rom	удача, доля, счастье	ж.		др.-перс. и др.-арм. baxt счастье	NOUN			f		
бахтало	rom	счастливый	прил.			ADJ					
бахталы	rom	счастливая				ADJ					
бахталэ	rom	счастливые		мн. к бахтало		ADJ					
бахталэ	rom	счастливый, -ая, -ые	завис. ф. при сущ.			ADJ					завис. ф. при сущ.
бахтори	rom	счастье	ж.		уменыш. от бахт	NOUN			f		
бахтя	rom	удачи		мн. к бахт		NOUN					
бахтякирэс	rom	благословляешь, букв. делаешь счастливым				VERB					
бахтяса	rom	[с] счастьем		тв. ед. к бахт		NOUN					
башавэл	rom	звучит	гл. неп.			VERB	INTR				
башавэл	rom	играет на музыкальном инструменте	гл. пер.			VERB	TRAN				
башавэна	rom	зазвучат				VERB					
башады	rom	гитара	ж.		ж. к башадо (прич.) от башавэл	NOUN			f		
башно	rom	петух	м.		башно (прич.) от башэл	NOUN			m		
башнэн	rom	петухов		вин. мн. в знач. родительного к башно		NOUN					
башэла	rom	звучит, лает, болтает	гл. неп.			VERB	INTR				
ба-я-яри	rom	см. бари				unknown					
бельвеле	rom	вечером	нар.			ADVB					
бельвеленца	rom	[с] вечерами		тв. ед. к бельвель		NOUN					
бельвель	rom	вечер	ж.		др.-инд. velī-velī (ж.), снскр. velā (ж.) вечерний час	NOUN			f		
бельвеля	rom	вечера		мн. к бельвель		NOUN					
би-	rom	без, обычно образует прил. и нар. с ф. принадл.: битыро без тебя	пристав.			PREP					пристав.
бибахт	rom	недоля, несчастье	ж.		би + бахт	NOUN			f		
биби	rom	тетя	ж.		перс. диал. bibí тётя	NOUN			f		
бибишэнгиро шэл	rom	80, букв.: без двадцати 100	числ.			NUMR					
бибишэнгиро шэлто	rom	80-й, букв.: без двадцати сотый	числ.			NUMR					
бибо, биболэ	rom	тётя		зват. ф. к биби		NOUN					
бибья	rom	тети		мн. к биби		NOUN					
бибьякиро	rom	тетушкин		ф. принадл. к биби		ADJ					
бибьякэ	rom	тетке		дат. ед. к биби		NOUN					
бивастэнгиро	rom	безрукий			би + ф. принадл. мн. к васт	ADJ					
биґэрэнгиро	rom	без ног	нар.			ADVB					
биґэрэнгиро	rom	безногий	прил.		би + ф. принадл. мн. к ґэрой	ADJ					
бида	rom	беда	ж.		слав.	NOUN			f		
бидуенгиро биш	rom	18, букв.: без двух 20	числ.			NUMR					
бидуенгиро бишто	rom	18-Й	числ.			NUMR					
бидуенгиро дэшто	rom	8-й, без двух 10- й	числ.			NUMR					
биды	rom	беды		мн. к бида		NOUN					
бидытко	rom	бедовый, -ая	прил.		от бида	ADJ					
бидэшэнгиро шэл	rom	90, букв.: без десяти 100	числ.			NUMR					
бидэшэнгиро шэлто	rom	90-й, букв.: без десяти сотый	числ.			NUMR					
биекхэскиро биш	rom	19, букв.: без одного 20	числ.			NUMR					
биекхэскиро бишто	rom	19-й	числ.			NUMR					
биекхэсхиро дэшто	rom	9-й, без одного 10-й	числ.			NUMR					
бикиндём	rom	продал[а]				VERB					
бикнэла	rom	продаёт	гл. пер.			VERB	TRAN				
бикхэритконэс	rom	бездомного		вин. ед. м. к бикхэритко		ADJ					
билавэнгро, билавэнгиро	rom	без слов	прил. и нар.		би + ф. принадл. мн. к лав	ADJ;ADVB					
билавэскро, билавэскиро	rom	без слова	нар.		би + ф. принадл. ед. к лав	ADVB					
билакиро	rom	без неё	нар.		би + ф. принадл. к ёй	ADVB					
билето	rom	билет, кредитка	м.			NOUN			m		
билетэнца	rom	билетами, кредитками		тв. мн. к билето		NOUN					
билэскиро	rom	без него	нар.		би + ф. принадл. к ёв	ADVB					
бимоскиро	rom	бесстылдный, букв.: безликий	прил.		би + ф. принадл. ед. к муй	ADJ					
бипандженгиро шэлто	rom	95-й, букв.: без пяти сотый	числ.			NUMR					
биподенгирэ	rom	без подолов, пол			би + ф. принадл. мн. к подя	unknown					
биратэскро	rom	без крови	нар.		би + ф. принадл. ед. крат (м.)	ADVB					
бистрава	rom	забываю, забуду				VERB					
бистрэла	rom	забывает	гл. пер.		снскр. vismar- забыть	VERB	TRAN				
бистырдём	rom	забыл[а]				VERB					
бистырдэ	rom	забыли				VERB					
бистырдя	rom	забыл[а]				VERB					
битринэнгиро биш	rom	17, букв: без трех 20	числ.			NUMR					
битринэнгиро бишто	rom	17-й	числ.			NUMR					
битринэнгиро дэшто	rom	7-й, без трех 10-й	числ.			NUMR					
бичяв	rom	пошли, посылай	повел.			VERB	IMPER				
бичявэла	rom	посылает	гл. пер.			VERB	TRAN				
бичявэн	rom	шлют, шлёте				VERB					
биш	rom	двадцать	числ.			NUMR					
бишто	rom	20-й	числ.			NUMR					
бишто вавир	rom	22-й	числ.			NUMR					
бишто панджьто	rom	25-й	числ.			NUMR					
бишто пэрво	rom	21-й	числ.			NUMR					
бишто трито	rom	23-й	числ.			NUMR					
бишто шовто	rom	26-й	числ.			NUMR					
бишто штарто	rom	24-й	числ.			NUMR					
биягакро, биягакиро	rom	без огня	прил. и нар.		би + ф. принадл. ед. к яг 	ADJ;ADVB					
бияндло	rom	рожденный	прич.			PRTCP					
бияндя	rom	родил[а]				VERB					
бого	rom	убогий, бедный	прил.			ADJ					
богэдыр	rom	беднее	сравн.			COMP					
боксо	rom	бокс	м.			NOUN			m		
бокх	rom	голод	ж.		снскр. bub-hukṣ̌ā (ж.) голод	NOUN			f		
бокхало	rom	голодный	прил.		от бокх	ADJ					
бокхалы	rom	голодная		ж. к бокхало		ADJ					
болыбэн	rom	небо	м.			NOUN			m		
бори	rom	невестка	ж.		снскр. voḍhā (ж.) введенная в дом как жена	NOUN			f		
бравинта	rom	водка	ж.		нем. Branntwein (ср.) водка	NOUN			f		
бринда	rom	сборка, складка	ж.			NOUN			f		
бричка, брычка	rom	бричка	ж.			NOUN			f		
брылё	rom	шляпа	м.		укр.	NOUN			m		
брышынд	rom	дождь	м.		снскр. varṣ̌ant (ср.) дождь	NOUN			m		
брышындэнца	rom	[с] дождями		тв. мн. к брышынд		NOUN					
брэго	rom	берег	м.			NOUN			m		
брэза	rom	береза	ж.		слав.	NOUN			f		
брэзы	rom	берёзы		мн. к брэза		NOUN					
буґло	rom	широкий	прил.		снскр. bahulā широкий	ADJ					
буґлыдыр	rom	шире	сравн.			COMP					
буґлыпэн	rom	ширина, простор	м.		от бугло	NOUN			m		
буква	rom	буква	ж.			NOUN			f		
буквица	rom	буковка	ж.		уменьш. от буква	NOUN			f		
буквы	rom	буквы		мн. к буква		NOUN					
бул	rom	зад	ж.			NOUN			f		
бумажнико	rom	бумажник	м.			NOUN			m		
бут	rom	много	нар.			ADVB					
буты	rom	дело, работа	ж.		снскр. vṛtti (ж.) работа	NOUN			f		
бутыдыр, бутэдыр, бутыр	rom	больше	сравн.			COMP					
бутя	rom	работы		мн. к буты		NOUN					
бутяри	rom	работник, рабочий	м.			NOUN			m		
бутярис	rom	работника		вин. ед. к бутяри		NOUN					
бутяриса	rom	рабочим		тв. ед. к бутяри		NOUN					
бутярны	rom	работница	ж.			NOUN			f		
бутярьенгэ	rom	работникам		дат. мн. к бутяри		NOUN					
бутярья	rom	работники, рабочие		мн. к бутяри		NOUN					
бутятыр	rom	от работы		отл. ед. к буты (ж.)		unknown					
бы	rom	русская частица сослагательного наклонения				unknown					
быко	rom	бык	м.			NOUN			m		
быкос	rom	быка		вин. ед. к быко		NOUN					
бырлин	rom	пчела	ж.		снскр. varolī (ж.) пчела	NOUN			f		
бырля	rom	пчёлы		мн. к бырлин		NOUN					
бьяв	rom	свадьба	м.		хинди bjāh (м.), снскр. vivāhá (м.) брак	NOUN			m		
бьявитко	rom	свадебный, -ая	прил.			ADJ					
бьявэскэ	rom	свадьбе		дат. ед. к бьяв		NOUN					
бэнг	rom	черт	м.		снскр. vána-ga леший	NOUN			m		
бэнга	rom	черти		мн. к бэнг		NOUN					
бэрга	rom	гора	ж.		нем. Berg (м.) гора	NOUN			f		
бэргатыр	rom	с горы		отл. ед. к бэрга		unknown					
бэрги	rom	горы		мн. к бэрга		NOUN					
бэрш	rom	год	м.		снскр. varšá а (м.) год	NOUN			m		
бэрша	rom	года		мн. к бэрш		NOUN					
бэршоро	rom	годок	м.		уменыш. от бэрш	NOUN			m		
бэршорэ	rom	годочки		мн. к бэршоро		NOUN					
бэршорэнца	rom	[с] годочками		тв. мн. к бэршоро		NOUN					
бэршэндыр	rom	от годов, от лет		отл. мн. к бэрш		unknown					
бэршэнца	rom	[с] годами		тв. мн. к бэрш		ADVB					
бэстём	rom	сидел[а]				VERB					
бэстя	rom	сидел[а]		прош. I к бэшэл		VERB					
бэш	rom	сядь	повел.		снскр. viś- опускаться, садиться	VERB	IMPER				
бэшав, бэшава	rom	сижу, сяду				VERB					
бэшло, бэшто	rom	сидящий	прич.			PRTCP					
бэшто	rom	сидящий	прич.			PRTCP					
бэшты	rom	сидящая		ж. к бэшто		PRTCP					
бэштэ	rom	сидящие		ж. к бэшто		PRTCP					
бэшы	rom	сев	деепр.			GRND					
бэшындуй	rom	сидя	деепр.			GRND					
бэшэл, бэшэла	rom	сидит	гл. неп.			VERB	INTR				
бэшэн	rom	сидят				VERB					
бэшэс	rom	сидишь				VERB					
вавир, дуйто	rom	2-й, другой	числ.			NUMR					
вавир, авир, явир	rom	другой, другая	мест.		снскр. ápara	PRON					
ваврэс	rom	другого		вин. м. ед. к вавир		ADJ					
ваврэскиро	rom	чужой		ф. принадл. м. ед. к вавир		ADJ					
вангар	rom	уголь	м.		снскр. áńgāra древесный уголь	NOUN			m		
вангара	rom	угли		мн. к вангар		NOUN					
ванта	rom	стена	ж.		нем. Wand (ж.) стена	NOUN			f		
ванты	rom	стены		мн. к ванта		NOUN					
Ванчё	rom	Ванчо, Иван				NOUN					
Ванчёстэ	rom			местн. ед. к Ванчё		unknown					
варисаво	rom	какой-нибудь	мест.			PRON					
васа	rom	будем	редк.			VERB					редк.
васт	rom	рука	м.		снскр. hasta (м.) рука	NOUN			m		
васта	rom	руки		мн. к васт		NOUN					
вастори	rom	ручка	ж.			NOUN			f		
вастэса	rom	рукой		тв. ед. к васт		NOUN					
ваш	rom	для	предл. с дат. одуш., с вин. неод.			PREP					с дат. одуш., с вин. неод.
вашо	rom	для			ваш + артикль о	PREP					
вашэ	rom	для			ваш + артикль э	PREP					
взбария = збария	rom	взошло, выросло, см. бария				VERB					
вздыкхтя, вздыкхья = здыкхья	rom	взглянул, см. дыкхья				VERB					
взрипирдём = зрипирдём	rom	вспомнил			от рипирэл вспоминает	VERB					
видико	rom	видеомагнитофон	м.			NOUN			m		
винаградо, виноградо	rom	виноград, виноградник	м.			NOUN			m		
виндыри	rom	кишка	ж.		снскр. antra (ср.) нутро	NOUN			f		
вино	rom	вино	м.			NOUN			m		
витрадэнэнэ	rom	см. вытрадынэ				unknown					
влахуря	rom	самоназвание влашских цыган				unknown					
вмардо	rom	вбитый	прич.		от марэл	PRTCP					
вместо	rom	вместо	предл., с вин.			PREP					с вин.
вольна	rom	вольные		мн. к вольно		ADJ					
вольно	rom	вольный, -ая	прил.			ADJ					
вса	rom	всё	мест., част.			PRON;PRCL					
второ	rom	второй, -ая	числ.			NUMR					
второ, дуйто	rom	2-й, другой	числ.			NUMR					
вурдон, вурдэн	rom	телега	м.		др.-перс. wardjūn телега	NOUN			m		
выгыи	rom	выйдя	деепр.			GRND					
выгыя	rom	вышел				VERB					
выджява	rom	выхожу, выйду, также: выеду				VERB					
выджяла	rom	выходит	гл. неп.			VERB	INTR				
выджялас	rom	выходил[а]				VERB					
выджяса	rom	выходим, выйдем				VERB					
выдыкхёла	rom	смотрится, выглядит				VERB					
выкхэлэла	rom	выиграет	гл. пер.			VERB	TRAN				
выкхэлэлас	rom	выигрывал[а]				VERB					
выкэрэлас	rom	выделывал[а]				VERB					
вылыджяла	rom	выносит, вынесет	гл. пер.			VERB	TRAN				
вымардо	rom	выбитый	прич.		от марэла	PRTCP					
вымарды	rom	выбитая		ж. к вымардо		PRTCP					
вымордяпэ	rom	вымылся, вымылась			от морэла	VERB					
вымэки	rom	выпуская	деепр.			GRND					
выпиём	rom	выпил[а]				VERB					
выпхэныбэн	rom	выговор, произношение	м.		от пхэнэла	NOUN			m		
выпьела	rom	выпивает	гл. пер.			VERB	TRAN				
выпья	rom	выпил[а]				VERB					
вырисёла	rom	выворачивается, вырывается	гл. неп.			VERB	INTR				
вырисиём	rom	вывернулся, вырвался				VERB					
вырискир	rom	вырви	повел.			VERB	IMPER				
вырискирэла	rom	вырывает	повел.			VERB	IMPER				
вытрадынэ, вытрадэнэ	rom	выгнали			от традэла	VERB					
вытырдыи	rom	вытянув	деепр.			GRND					
выурня	rom	вылети	повел.			VERB	IMPER				
выурнял, выурняла	rom	вылетит	гл. неп.			VERB	INTR				
вычюрдэла	rom	выбрасывает	гл. пер.			VERB	TRAN				
вычюрдэса	rom	выбросишь				VERB					
вычюрдя	rom	выбрасывал[а]				VERB					
вьюга	rom	вьюга	ж.			NOUN			f		
вьюги	rom	вьюги		мн. к вьюга		NOUN					
вэдра	rom	ведро	ж.			NOUN			f		
вэнки	rom	венки		мн. к вэнко		NOUN					
вэнко	rom	венок	м.			NOUN			m		
вэсна	rom	весна	ж.			NOUN			f		
вэснакиро	rom	весенний		ф. принадл. ед. к вэсна		ADJ					
вэснакиро	rom	весной	нар.			ADVB					
вэснаса	rom	весной		тв. ед. к вэсна		ADVB					
вэснаса	rom	весной	нар.			ADVB					
вэсны	rom	весны	ж.	мн. к вэсна		NOUN			f		
вэш	rom	лес	м.		др.-перс. vēšaġ лес	NOUN			m		
вэша	rom	леса		мн. к вэш		NOUN					
вэшоро	rom	лесок	м.		уменьш. от вэш	NOUN			m		
вэшытко	rom	лесной, -ая	прил.			ADJ					
вэшэнца	rom	с лесами		тв. мн. к вэш		unknown					
вэшэса	rom	лесом		тв. ед. к вэш		ADVB					
габал, багал	rom	поёт	гл. пер.			VERB	TRAN				
габанте	rom	пойте	у Л. Толстого			VERB					у Л. Толстого
гав	rom	село, деревня	м.		снскр. grā́ma (м.) деревня	VERB			m		
гава	rom	сёла		мн. к гав		NOUN					
гавитка	rom	сельские		мн. к гавитко		ADJ					
гавитко	rom	сельский, -ая	прил.			ADJ					
гаворо	rom	деревенька	м.		уменьш. от гав	NOUN			m		
гад	rom	рубаха	м.		непальск. gādo одежда бутанцев, шумерск. gad лён (L.M.)	NOUN			m		
гаджё	rom	русский, не цыган	м.		возм., от гав селянин	ADJ			m		
гадже, гаже	rom	русские, не цыгане	м., мн.	мн. к гаджё		ADJ			m	pl	
гаджестыр	rom	у русского		отл. ед. к гаджё		unknown					
гади, гаджи	rom	русская, не цыганка	ж.			ADJ			f		
галбэнца: лэ галбэнца	rom	[с] червонцами (румынск. галба), лэ артикль мн.				NOUN					
гаравэла	rom	прячет, хоронит	гл. пер.		хинди gār- хоронить, прятать	VERB	TRAN				
гаравэн, гаравэна	rom	прячут, хоронят, похоронят				VERB					
гаравэс	rom	прячешь				VERB					
гарадо	rom	спрятан	прич.			PRTCP					
гарадэ	rom	спрятаны		мн. к гарадо		PRTCP					
гаса	rom	улица	ж., редк.		нем. Gasse (ж.)	NOUN			f		редк.
гив	rom	рожь, злаки	м.		снскр. godhū́ma (м.) пшеница	NOUN			m		
гивны	rom	пшеница	ж.		от гив (м.) – рожь, злаки	NOUN			f		
гиленца	rom	[с] песнями		тв. мн. к гилы		NOUN					
гилори	rom	песенка	ж.		уменьш. от гилы	NOUN			f		
гилорьенца	rom	[с] песенками		тв. мн. к гилори		NOUN					
гилорья	rom	песенки	ж.	мн. к гилори		NOUN			f		
гилы	rom	песня	ж.		снскр. gīti (ж.) песня	NOUN			f		
гилытко	rom	песенный, -ая				ADJ					
гиля	rom	песни		мн. к гилы		NOUN					
гиндло	rom	считанный	прич.			PRTCP					
гиндлэ	rom	считанные		мн. к гиндло		PRTCP					
гинэл	rom	считает, читает	гл. пер.		снскр. gan- считать	VERB	TRAN				
гитара	rom	гитара	ж.			NOUN			f		
гитары	rom	гитары		мн. к гитара		NOUN					
гия, гыя, гэя	rom	ушёл (он), ушла				VERB					
глос	rom	голос	ж.		пол. głos	NOUN			f		
глоса, глося, глосья	rom	голоса		мн. к глос		NOUN					
годла	rom	зов, крик	ж.		пол. godło клич (стар.) / хинди gol (м.) шум (L.М.)	NOUN			f		
годлыма	rom	зов, восклицания	м.			NOUN			m		
годы	rom	ум, разум	ж.		др.-инд. godī (ж.), снскр. goda (м., ср.) мозг	NOUN			f		
годьваро	rom	умный	м.			ADJ			m		
годьвари	rom	умная	ж.		от годы	ADJ			f		
годявир	rom	умный, умная				ADJ					
годяса	rom	умом		тв. ед. к годы		NOUN					
годятыр	rom	с ума, от ума		отл. ед. к годы		unknown					
гожа	rom	красивые		мн. к гожо		ADJ					
гожа-крэнца	rom	красивые-кудрявые				ADJ					
гожинько	rom	см. гожынько				unknown					
гожо	rom	красивый, -ая	прил.		русск. диал.	ADJ					
гожона	rom	красивую		вин. ед. ж. к гожо		ADJ					
гожонакэ	rom	красивой		дат. ед. ж. к гожо		ADJ					
гожона-якэ	rom	см. гожонакэ				unknown					
гожонэн	rom	красивых, вин. мн. ж. гожо				ADJ					
гожыдыр	rom	краше, красивее	сравн.			COMP					
гожыма	rom	красота	м.		от гожо	NOUN			m		
гожымастыр	rom	[от] красоты		отл. ед. к гожыма		NOUN					
гожынька	rom	красивые		мн. к гожынько		ADJ					
гожынько	rom	красивый, -ая	прил.		уменьш. от гожо	ADJ					
гожынькос	rom	красивенько	нар.			ADVB					
гожэдыр	rom	краше, красивее	сравн.			COMP					
гожэс	rom	красиво	нар.			ADVB					
гой	rom	колбаса	ж.		снскр. gudā, gudī (ж.) кишечник	NOUN			f		
голумбо	rom	голубь	м.		пол. golᶏb	NOUN			m		
голумбы	rom	голуби		мн. к голумбо		NOUN					
гостё	rom	гость	м.		слав.	NOUN			m		
грай	rom	конь	м.		др.-арм. grast вьючное животное	NOUN			m		
грасны	rom	кобыла	ж.		граст + -ны	NOUN			f		
грасто-ёро	rom	см. грасторо				unknown					
грасторо	rom	коник	м.		уменьш. от грай	NOUN			m		
грасторэс	rom	конечка		вин. ед. к грасторо		NOUN					
грая	rom	кони, мн. кграй				NOUN					
гробо	rom	гроб, могила	м.			NOUN			m		
гробы	rom	гробы, могилы		мн. к гробо		NOUN					
гроза	rom	гроза	ж.			NOUN			f		
грэн	rom	коней, лошадей		вин. мн. к грай		NOUN					
грэнгэ	rom	коням		дат. мн. к грай		NOUN					
грэндыр	rom	[с] коней		отл. мн. к грай		NOUN					
грэндэ	rom	[на] лошадях		местн. мн. к грай		NOUN					
грэнца	rom	лошадьми		тв. мн. к грай		NOUN					
грэс	rom	коня		вин. ед. к грай		NOUN					
грэскэ	rom	коню		дат. ед. к грай		NOUN					
грэстыр	rom	от коня		отл. ед. к грай		unknown					
грэстэ	rom	у коня		местн. ед. к грай		unknown					
грэхо	rom	грех	м.			NOUN			m		
гудло	rom	сладкое, сахар	м.			NOUN			m		
гудло	rom	сладкий	прил.		снскр. gula (м.) сахар	ADJ					
